>> -W1,black,.
0.654696315827 1480.71571565
0.649193695115 1518.63855849
0.644013507658 1556.56140133
0.639088481953 1594.48424418
0.634369015142 1632.40708702
0.629817786104 1670.32992987
0.625406235985 1708.25277271
0.62111219398 1746.17561555
0.616918231775 1784.0984584
0.612810496303 1822.02130124
0.608777865071 1859.94414408
0.604811324209 1897.86698693
0.60090350348 1935.78982977
0.597048323982 1973.71267261
0.593240728072 2011.63551546
0.589476470165 2049.5583583
0.585751953201 2087.48120114
0.582064099774 2125.40404399
0.578410249856 2163.32688683
0.57478807911 2201.24972967
0.571195533292 2239.17257252
0.567630775309 2277.09541536
0.564092142309 2315.01825821
0.56057811077 2352.94110105
0.557087267986 2390.86394389
0.553618288702 2428.78678674
0.55016991592 2466.70962958
0.546740945054 2504.63247242
0.54333021082 2542.55531527
0.53993657634 2580.47815811
0.536558924039 2618.40100095
0.533196147986 2656.3238438
0.529847147412 2694.24668664
0.526510821167 2732.16952948
0.523186062921 2770.09237233
0.51987175694 2808.01521517
0.516566774328 2845.93805801
0.513269969585 2883.86090086
0.509980177414 2921.7837437
0.506696209674 2959.70658655
0.503416852405 2997.62942939
0.500140862875 3035.55227223
0.496866966567 3073.47511508
0.493593854065 3111.39795792
0.490320177788 3149.32080076
0.487044548512 3187.24364361
0.483765531633 3225.16648645
0.480481643121 3263.08932929
0.477191345114 3301.01217214
0.473893041087 3338.93501498
0.470585070539 3376.85785782
0.467265703127 3414.78070067
0.463933132173 3452.70354351
0.460585467451 3490.62638635
0.457220727164 3528.5492292
0.453836828993 3566.47207204
0.450431580077 3604.39491489
0.447002665795 3642.31775773
0.443547637149 3680.24060057
0.440063896548 3718.16344342
0.436548681748 3756.08628626
0.432999047656 3794.0091291
0.429411845642 3831.93197195
0.425783699953 3869.85481479
0.422110980724 3907.77765763
0.418389772983 3945.70050048
0.414615840918 3983.62334332
0.410784586513 4021.54618616
0.406891001451 4059.46902901
0.402929610932 4097.39187185
0.398894407728 4135.31471469
0.394778774346 4173.23755754
0.390575390668 4211.16040038
0.386276123674 4249.08324322
0.381871894926 4287.00608607
0.377352520241 4324.92892891
0.372706514247 4362.85177176
0.367920850245 4400.7746146
0.362980662584 4438.69745744
0.35786887434 4476.62030029
0.352565726822 4514.54314313
0.347048178436 4552.46598597
0.341289127382 4590.38882882
0.335256393334 4628.31167166
0.328911364159 4666.2345145
0.3222071691 4704.15735735
0.315086170201 4742.08020019
0.307476452616 4780.00304303
0.299286814281 4817.92588588
0.290399458471 4855.84872872
0.28065910064 4893.77157156
0.269856397984 4931.69441441
0.257702398914 4969.61725725
0.243789401895 5007.5401001
0.227534928405 5045.46294294
0.208123496587 5083.38578578
0.184551757524 5121.30862863
0.156159676463 5159.23147147
0.124053904285 5197.15431431
0.091621383076 5235.07715716
0.0618977627772 5273.0
0.0 5373.0
>> 
0.722374183827 1383.90657156
0.71835344051 1389.28485735
0.712804432145 1394.66314313
0.707680139387 1400.04142891
0.702907793454 1405.41971469
0.698431571793 1410.79800048
0.69420758381 1416.17628626
0.690200603704 1421.55457204
0.686381861925 1426.93285782
0.682727504481 1432.31114361
0.67921749026 1437.68942939
0.675834782516 1443.06771517
0.672564744537 1448.44600095
0.669394679619 1453.82428674
0.666313475249 1459.20257252
0.663311323878 1464.5808583
0.66037950085 1469.95914408
0.657510185577 1475.33742987
0.654696315827 1480.71571565
>>
0.655 1480
0.0 1480
